model_num,1
n1,20
lr,0.0001
bs,4
loss,[0.00835189 0.01054034 0.24687578 0.01570795 0.05711568]
loss_mean,0.06771832
loss_std,0.091333
accuracy,[1.         1.         0.93333334 1.         0.8666667 ]
accuracy_mean,0.96000004
accuracy_std,0.05333333
test_list,"[array([16.5, 15.5, 29.5, 12.5, 34. , 21.5,  4. , 38.5, 30.5, 31.5, 22. ,       18. ,  6. ,  7.5, 27.5, 20.5], dtype=float32), array([17.5, 36. , 36.5, 38. ,  9.5,  2.5, 27. , 11. , 39.5, 15. , 17. ,       29. ,  4.5, 20. , 23.5, 19. ], dtype=float32), array([40. ,  8. , 32. , 35.5,  3.5,  3. , 16. , 18.5, 10.5, 12. , 23. ,       31. , 21. , 10. , 22.5], dtype=float32), array([11.5,  5. , 28.5,  8.5, 28. , 24.5,  6.5, 33. , 34.5, 25.5,  2. ,       13. , 14.5, 25. , 33.5], dtype=float32), array([ 7. , 37.5, 39. , 19.5, 13.5, 30. , 14. , 37. ,  5.5,  9. , 32.5,       26.5, 35. , 24. , 26. ], dtype=float32)]"
model_num,2
n1,20
lr,0.0001
bs,6
loss,[0.01776592 0.20639238 0.39600408 0.01428223 0.15869622]
loss_mean,0.15862817
loss_std,0.14093025
accuracy,[1.         0.75       0.93333334 1.         0.8       ]
accuracy_mean,0.8966667
accuracy_std,0.103494495
test_list,"[array([16.5, 15.5, 29.5, 12.5, 34. , 21.5,  4. , 38.5, 30.5, 31.5, 22. ,       18. ,  6. ,  7.5, 27.5, 20.5], dtype=float32), array([17.5, 36. , 36.5, 38. ,  9.5,  2.5, 27. , 11. , 39.5, 15. , 17. ,       29. ,  4.5, 20. , 23.5, 19. ], dtype=float32), array([40. ,  8. , 32. , 35.5,  3.5,  3. , 16. , 18.5, 10.5, 12. , 23. ,       31. , 21. , 10. , 22.5], dtype=float32), array([11.5,  5. , 28.5,  8.5, 28. , 24.5,  6.5, 33. , 34.5, 25.5,  2. ,       13. , 14.5, 25. , 33.5], dtype=float32), array([ 7. , 37.5, 39. , 19.5, 13.5, 30. , 14. , 37. ,  5.5,  9. , 32.5,       26.5, 35. , 24. , 26. ], dtype=float32)]"
model_num,3
n1,20
lr,0.0001
bs,8
loss,[0.01143817 0.43344307 1.1125816  0.04002535 0.23094776]
loss_mean,0.3656872
loss_std,0.4030248
accuracy,[1.         0.8125     0.73333335 1.         0.73333335]
accuracy_mean,0.85583335
accuracy_std,0.12120918
test_list,"[array([16.5, 15.5, 29.5, 12.5, 34. , 21.5,  4. , 38.5, 30.5, 31.5, 22. ,       18. ,  6. ,  7.5, 27.5, 20.5], dtype=float32), array([17.5, 36. , 36.5, 38. ,  9.5,  2.5, 27. , 11. , 39.5, 15. , 17. ,       29. ,  4.5, 20. , 23.5, 19. ], dtype=float32), array([40. ,  8. , 32. , 35.5,  3.5,  3. , 16. , 18.5, 10.5, 12. , 23. ,       31. , 21. , 10. , 22.5], dtype=float32), array([11.5,  5. , 28.5,  8.5, 28. , 24.5,  6.5, 33. , 34.5, 25.5,  2. ,       13. , 14.5, 25. , 33.5], dtype=float32), array([ 7. , 37.5, 39. , 19.5, 13.5, 30. , 14. , 37. ,  5.5,  9. , 32.5,       26.5, 35. , 24. , 26. ], dtype=float32)]"
model_num,4
n1,20
lr,0.0005
bs,4
loss,[0.00065941 0.00124785 0.00846077 0.00323897 0.00303564]
loss_mean,0.003328526
loss_std,0.002752711
accuracy,[1. 1. 1. 1. 1.]
accuracy_mean,1
accuracy_std,0
